Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Advanced Information Networking and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-99619-2","Prof. Dr. Leonard BarolliProf. Farookh HussainProf. Tomoya Enokido","2022","http://link.springer.com/book/10.1007/978-3-030-99619-2","Book"
"An Experience Report from the Migration of Legacy Software Systems to Microservice Based Architecture","16th International Conference on Information Technology-New Generations (ITNG 2019)","","","","10.1007/978-3-030-14070-0_26","Hugo Henrique S. da SilvaGlauco de F. CarneiroMiguel P. Monteiro","2019","http://link.springer.com/chapter/10.1007/978-3-030-14070-0_26","Chapter"
"Performance optimization for cloud computing systems in the microservice era: state-of-the-art and research opportunities","Frontiers of Computer Science","","16","6","10.1007/s11704-020-0072-3","Rong ZengXiaofeng HouLu ZhangChao LiWenli ZhengMinyi Guo","2022","http://link.springer.com/article/10.1007/s11704-020-0072-3","Article"
"Smart and Sustainable Collaborative Networks 4.0","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-85969-5","Prof. Dr. Luis M. Camarinha-MatosProf. Dr. Xavier BoucherProf. Dr. Hamideh Afsarmanesh","2021","http://link.springer.com/book/10.1007/978-3-030-85969-5","Book"
"Technologies and Applications for Big Data Value","","","","","10.1007/978-3-030-78307-5","Dr. Edward CurryProf. Dr. Sören AuerDr. Arne J. BerreDr. Andreas MetzgerProf. Maria S. PerezProf. Sonja Zillner","2022","http://link.springer.com/book/10.1007/978-3-030-78307-5","Book"
"Microservices Backlog - A Model of Granularity Specification and Microservice Identification","Services Computing – SCC 2020","","","","10.1007/978-3-030-59592-0_6","Fredy H. Vera-RiveraEduard G. Puerto-CuadrosHernán AstudilloCarlos Mauricio Gaona-Cuevas","2020","http://link.springer.com/chapter/10.1007/978-3-030-59592-0_6","Chapter"
"Intelligent Systems and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-82193-7","Prof. Dr. Kohei Arai","2022","http://link.springer.com/book/10.1007/978-3-030-82193-7","Book"
"Emerging Research in Computing, Information, Communication and Applications","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-16-1342-5","Prof. N. R. ShettyProf. L. M. PatnaikProf. H. C. NagarajDr. Prasad N. HamsavathDr. N. Nalini","2022","http://link.springer.com/book/10.1007/978-981-16-1342-5","Book"
"Innovations for Community Services","Communications in Computer and Information Science","","","","10.1007/978-3-031-06668-9","Frank PhillipsonGerald EichlerProf. Dr. Christian ErfurthGünter Fahrnberger","2022","http://link.springer.com/book/10.1007/978-3-031-06668-9","Book"
"Advances in Enterprise Engineering XV","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-11520-2","Prof. David AveiroHenderik A. ProperSérgio GuerreiroDr. Marne de Vries","2022","http://link.springer.com/book/10.1007/978-3-031-11520-2","Book"
"Proceedings of International Conference on Communication and Computational Technologies","Algorithms for Intelligent Systems","","","","10.1007/978-981-16-3246-4","Dr. Sandeep KumarDr. Sunil Dutt PurohitDr. Saroj HiranwalDr. Mukesh Prasad","2021","http://link.springer.com/book/10.1007/978-981-16-3246-4","Book"
"The Adoption of Microservices Architecture as a Natural Consequence of Legacy System Migration at Police Intelligence Department","Computational Science and Its Applications – ICCSA 2022","","","","10.1007/978-3-031-10522-7_25","Murilo Góes de AlmeidaEdna Dias Canedo","2022","http://link.springer.com/chapter/10.1007/978-3-031-10522-7_25","Chapter"
"DoME: Dew computing based microservice execution in mobile edge using Q-learning","Applied Intelligence","","","","10.1007/s10489-022-04087-x","Sheuli ChakrabortyDebashis DeKaushik Mazumdar","2022","http://link.springer.com/article/10.1007/s10489-022-04087-x","Article"
"Handbook of Smart Cities","","","","","10.1007/978-3-030-69698-6","Juan Carlos Augusto","2021","http://link.springer.com/referencework/10.1007/978-3-030-69698-6","ReferenceWork"
"Software Architecture","Communications in Computer and Information Science","","","","10.1007/978-3-030-59155-7","Henry MucciniParis AvgeriouDr. Barbora BuhnovaJavier CamaraMauro CaporuscioMirco FranzagoAnne KoziolekDr. Patrizia ScandurraCatia TrubianiDanny WeynsUwe Zdun","2020","http://link.springer.com/book/10.1007/978-3-030-59155-7","Book"
"Encyclopedia of Database Systems","","","","","10.1007/978-0-387-39940-9","LING LIUM. TAMER ÖZSU","2009","http://link.springer.com/referencework/10.1007/978-0-387-39940-9","ReferenceWork"
"Migration of Monolithic Applications Towards Microservices Under the Vision of the Information Hiding Principle: A Systematic Mapping Study","Advances in Emerging Trends and Technologies","","","","10.1007/978-3-030-32022-5_9","Victor VelepuchaPamela FloresJenny Torres","2020","http://link.springer.com/chapter/10.1007/978-3-030-32022-5_9","Chapter"
"Facilitating the migration to the microservice architecture via model-driven reverse engineering and reinforcement learning","Software and Systems Modeling","","21","3","10.1007/s10270-022-00977-3","MohammadHadi DehghaniShekoufeh Kolahdouz-RahimiMassimo TisiDalila Tamzalit","2022","http://link.springer.com/article/10.1007/s10270-022-00977-3","Article"
"The Digital Transformation of the Automotive Industry","","","","","10.1007/978-3-030-83826-3","Dr. Uwe Winkelhake","2022","http://link.springer.com/book/10.1007/978-3-030-83826-3","Book"
"Emerging Trends in Intelligent Systems & Network Security","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-031-15191-0","Mohamed Ben AhmedBoudhir Anouar AbdelhakimBernadetta Kwintiana AneDidi Rosiyadi","2023","http://link.springer.com/book/10.1007/978-3-031-15191-0","Book"
"Towards a Methodology to Form Microservices from Monolithic Ones","Euro-Par 2016: Parallel Processing Workshops","","","","10.1007/978-3-319-58943-5_23","Gabor KecskemetiAttila KerteszAttila Csaba Marosi","2017","http://link.springer.com/chapter/10.1007/978-3-319-58943-5_23","Chapter"
"Computer and Communication Engineering","Communications in Computer and Information Science","","","","10.1007/978-3-031-17422-3","Filippo NeriKe-Lin DuVijaya Kumar VaradarajanSan-Blas Angel-AntonioZhiyu Jiang","2022","http://link.springer.com/book/10.1007/978-3-031-17422-3","Book"
"Promises and challenges of microservices: an exploratory study","Empirical Software Engineering","","26","4","10.1007/s10664-020-09910-y","Yingying WangHarshavardhan KadiyalaJulia Rubin","2021","http://link.springer.com/article/10.1007/s10664-020-09910-y","Article"
"International Conference on Cognitive based Information Processing and Applications (CIPA 2021)","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-981-16-5857-0","Bernard J. JansenHaibo LiangDr. Jun Ye","2022","http://link.springer.com/book/10.1007/978-981-16-5857-0","Book"
"Encyclopedia of Big Data Technologies","","","","","10.1007/978-3-319-77525-8","Sherif SakrAlbert Y. Zomaya","2019","http://link.springer.com/referencework/10.1007/978-3-319-77525-8","ReferenceWork"
"A Model-Driven Approach Towards Automatic Migration to Microservices","Software Engineering Aspects of Continuous Development and New Paradigms of Software Production and Deployment","","","","10.1007/978-3-030-39306-9_2","Antonio BucchiaroneKemal SoysalClaudio Guidi","2020","http://link.springer.com/chapter/10.1007/978-3-030-39306-9_2","Chapter"
"Euro-Par 2021: Parallel Processing Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-031-06156-1","Ricardo ChavesDora B. HerasAleksandar IlicDidem UnatRosa M. BadiaAndrea BraccialiPatrick DiehlDr. Anshu DubeyOh SangyoonStephen L. ScottLaura Ricci","2022","http://link.springer.com/book/10.1007/978-3-031-06156-1","Book"
"Determining Microservice Boundaries: A Case Study Using Static and Dynamic Software Analysis","Software Architecture","","","","10.1007/978-3-030-58923-3_21","Tiago MatiasFilipe F. CorreiaJonas FritzschJustus BognerHugo S. FerreiraAndré Restivo","2020","http://link.springer.com/chapter/10.1007/978-3-030-58923-3_21","Chapter"
"Advanced Information Systems Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-030-49435-3","Prof. Dr. Schahram DustdarDr. Eric YuCamille SalinesiDominique RieuVik Pant","2020","http://link.springer.com/book/10.1007/978-3-030-49435-3","Book"
"Computational Science and Its Applications – ICCSA 2022 Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-031-10548-7","Prof. Osvaldo GervasiBeniamino MurganteSanjay MisraAna Maria A. C. RochaDr. Chiara Garau","2022","http://link.springer.com/book/10.1007/978-3-031-10548-7","Book"
"Lecture Notes in Computational Intelligence and Decision Making","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-030-82014-5","Prof. Sergii BabichevProf. Volodymyr Lytvynenko","2022","http://link.springer.com/book/10.1007/978-3-030-82014-5","Book"
"Service-Oriented Computing","Communications in Computer and Information Science","","","","10.1007/978-3-030-87568-8","Johanna Barzen","2021","http://link.springer.com/book/10.1007/978-3-030-87568-8","Book"
"Rising Threats in Expert Applications and Solutions","Lecture Notes in Networks and Systems","","","","10.1007/978-981-19-1122-4","Prof. Vijay Singh RathoreProf. Subhash Chander SharmaProf. Joao Manuel R.S. TavaresDr. Catarina MoreiraDr. B. Surendiran","2022","http://link.springer.com/book/10.1007/978-981-19-1122-4","Book"
"Cyber Security Intelligence and Analytics","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-030-97874-7","Prof. Zheng XuSaed AlrabaeeDr. Octavio Loyola-GonzálezDr. Xiaolu ZhangNiken Dwi Wahyu CahyaniNurul Hidayah Ab Rahman","2022","http://link.springer.com/book/10.1007/978-3-030-97874-7","Book"
"Microservice-Based System for Environmental Science Software Applications","ITNG 2022 19th International Conference on Information Technology-New Generations","","","","10.1007/978-3-030-97652-1_39","Vinh LeConnor Scully AllisonMitchell MartinezSergiu M. DascaluFrederick C. Harris,Scotty D. StrachanEric Fritzinger","2022","http://link.springer.com/chapter/10.1007/978-3-030-97652-1_39","Chapter"
"API Marketplace Engineering","","","","","10.1007/978-1-4842-7313-5","Rennay Dorasamy","2022","http://link.springer.com/book/10.1007/978-1-4842-7313-5","Book"
"Proceedings of Second International Conference on Advances in Computer Engineering and Communication Systems","Algorithms for Intelligent Systems","","","","10.1007/978-981-16-7389-4","Dr. A. Brahmananda ReddyDr. B.V. KiranmayeeDr. Raghava Rao MukkamalaDr. K. Srujan Raju","2022","http://link.springer.com/book/10.1007/978-981-16-7389-4","Book"
"Highly-Distributed Systems","","","","","10.1007/978-3-030-92829-2","Prof. Dr. Andriy LuntovskyyDr. Dietbert Gütter","2022","http://link.springer.com/book/10.1007/978-3-030-92829-2","Book"
"Advanced Information Systems Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-031-07472-1","Prof. Dr. Xavier FranchGeert PoelsDr. Frederik GaillyMonique Snoeck","2022","http://link.springer.com/book/10.1007/978-3-031-07472-1","Book"
"Coordination Models and Languages","Lecture Notes in Computer Science","","","","10.1007/978-3-030-78142-2","Ferruccio DamianiDr. Ornela Dardha","2021","http://link.springer.com/book/10.1007/978-3-030-78142-2","Book"
"Safety and Security of Cyber-Physical Systems","","","","","10.1007/978-3-658-37182-1","Dr. Frank J. Furrer","2022","http://link.springer.com/book/10.1007/978-3-658-37182-1","Book"
"Patterns Related to Microservice Architecture: a Multivocal Literature Review","Programming and Computer Software","","46","8","10.1134/S0361768820080253","J. A. ValdiviaA. Lora-GonzálezX. LimónK. Cortes-VerdinJ.O. Ocharán-Hernández","2020","http://link.springer.com/article/10.1134/S0361768820080253","Article"
"A Decomposition and Metric-Based Evaluation Framework for Microservices","Cloud Computing and Services Science","","","","10.1007/978-3-030-49432-2_7","Davide TaibiKari Systä","2020","http://link.springer.com/chapter/10.1007/978-3-030-49432-2_7","Chapter"
"Decentralizing Data","Pro Microservices in .NET 6","","","","10.1007/978-1-4842-7833-8_6","Sean WhitesellRob RichardsonMatthew D. Groves","2022","http://link.springer.com/chapter/10.1007/978-1-4842-7833-8_6","Chapter"
"Monolith Migration Complexity Tuning Through the Application of Microservices Patterns","Software Architecture","","","","10.1007/978-3-030-58923-3_3","João Franscisco AlmeidaAntónio Rito Silva","2020","http://link.springer.com/chapter/10.1007/978-3-030-58923-3_3","Chapter"
"Job Scheduling Strategies for Parallel Processing","Lecture Notes in Computer Science","","","","10.1007/978-3-030-88224-2","Dalibor KlusáčekWalfredo CirneGonzalo P. Rodrigo","2021","http://link.springer.com/book/10.1007/978-3-030-88224-2","Book"
"The 2021 International Conference on Smart Technologies and Systems for Internet of Things","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-981-19-3632-6","Prof. Ishfaq AhmadDr. Jun YeProf. Weidong Liu","2023","http://link.springer.com/book/10.1007/978-981-19-3632-6","Book"
"Microservice Remodularisation of Monolithic Enterprise Systems for Embedding in Industrial IoT Networks","Advanced Information Systems Engineering","","","","10.1007/978-3-030-79382-1_26","Adambarage Anuruddha Chathuranga De AlwisAlistair BarrosColin FidgeArtem Polyvyanyy","2021","http://link.springer.com/chapter/10.1007/978-3-030-79382-1_26","Chapter"
"Performance and Resilience to Failures of an Cloud-Based Application: Monolithic and Microservices-Based Architectures Compared","Computer Information Systems and Industrial Management","","","","10.1007/978-3-030-28957-7_37","Michał JagiełłoMarian RusekWaldemar Karwowski","2019","http://link.springer.com/chapter/10.1007/978-3-030-28957-7_37","Chapter"
"Running Microsoft Workloads on AWS","","","","","10.1007/978-1-4842-6628-1","Ryan Pothecary","2021","http://link.springer.com/book/10.1007/978-1-4842-6628-1","Book"
"Advances in Clean Energy Technologies","Springer Proceedings in Energy","","","","10.1007/978-981-16-0235-1","Dr. Prashant V. BaredarDr. Srinivas TangellapalliProf. Dr. Chetan Singh Solanki","2021","http://link.springer.com/book/10.1007/978-981-16-0235-1","Book"
"Leveraging Applications of Formal Methods, Verification and Validation","Lecture Notes in Computer Science","","","","10.1007/978-3-030-89159-6","Tiziana MargariaProf. Dr. Bernhard Steffen","2021","http://link.springer.com/book/10.1007/978-3-030-89159-6","Book"
"New Frontiers in Cloud Computing and Internet of Things","Internet of Things","","","","10.1007/978-3-031-05528-7","Rajkumar BuyyaLalit GargGiancarlo FortinoSanjay Misra","2022","http://link.springer.com/book/10.1007/978-3-031-05528-7","Book"
"What Is a Microservice?","Microservices, IoT, and Azure","","","","10.1007/978-1-4842-1275-2_2","Bob Familiar","2015","http://link.springer.com/chapter/10.1007/978-1-4842-1275-2_2","Chapter"
"Database and Expert Systems Applications","Lecture Notes in Computer Science","","","","10.1007/978-3-031-12423-5","Prof. Dr. Christine StraussAlfredo CuzzocreaGabriele KotsisProf. Dr. A Min TjoaIsmail Khalil","2022","http://link.springer.com/book/10.1007/978-3-031-12423-5","Book"
"Teaching Microservice Architecture Using DevOps—An Experience Report","Software Architecture","","","","10.1007/978-3-031-16697-6_8","Henrik Bærbak Christensen","2022","http://link.springer.com/chapter/10.1007/978-3-031-16697-6_8","Chapter"
"Digital Marketplaces Unleashed","","","","","10.1007/978-3-662-49275-8","Prof. Dr. Claudia Linnhoff-PopienDr. Ralf SchneiderMichael Zaddach","2018","http://link.springer.com/book/10.1007/978-3-662-49275-8","Book"
"Compendium on Enterprise Resource Planning","","","","","10.1007/978-3-030-93856-7","Dr. Siar Sarferaz","2022","http://link.springer.com/book/10.1007/978-3-030-93856-7","Book"
"Information and Software Technologies","Communications in Computer and Information Science","","","","10.1007/978-3-030-88304-1","Audrius LopataDaina GudonienėRita Butkienė","2021","http://link.springer.com/book/10.1007/978-3-030-88304-1","Book"
"Digital Transformation and the Role of Dynamic Tooling in Extracting Microservices from Existing Software Systems","Systems, Software and Services Process Improvement","","","","10.1007/978-3-030-85521-5_20","Neil LapuzPaul ClarkeYalemisew Abgaz","2021","http://link.springer.com/chapter/10.1007/978-3-030-85521-5_20","Chapter"
