url,name,approach,status,language
https://doi.org/10.48550/arXiv.1605.03175,"Towards a Technique for Extracting Microservices from Monolithic Enterprise Systems",data,method,agnostic
https://doi.org/10.1016/j.infsof.2022.106996,"Improving microservices extraction using evolutionary search",cohesion,method,agnostic
https://doi.org/10.1109/AICT50176.2020.9368571,"Towards Decomposing Monolithic Applications into Microservices",unknown,method,agnostic
https://repositorio-aberto.up.pt/bitstream/10216/122620/2/355627.pdf,"Refactoring Monoliths to Microservices",,,
https://doi.org/10.1145/3530019.3530040,"A Hierarchical DBSCAN Method for Extracting Microservices from Monolithic Applications",dependency,method,agnostic
https://doi.org/10.1007/978-3-319-99933-3_4,"Identifying Microservices Using Functional Decomposition",domain,method,agnostic
https://doi.org/10.1007/978-3-030-33702-5_5,"Towards Automated Microservices Extraction Using Muti-objective Evolutionary Search",cohesion,method,agnostic
https://doi.org/10.3390/app11177856,"On Microservice Analysis and Architecture Evolution: A Systematic Mapping Study",,,
https://doi.org/10.1002/spe.2956,"Migrating production monolithic systems to microservices using aspect oriented programming",control-flow,method,agnostic
https://doi.org/10.1007/978-3-030-06019-0_10,"From Monolith to Microservices: A Classification of Refactoring Approaches",,,
https://doi.org/10.3311/PPee.13925,"A New Decomposition Method for Designing Microservices",model,tool,agnostic
https://doi.org/10.1007/s10664-021-10049-7,"Analysis of a many-objective optimization approach for identifying microservices from legacy systems",multiple,tool,java
https://doi.org/10.13052/jwe1540-9589.2158,"Microservices Identification in Monolith Systems: Functionality Redesign Complexity and Evaluation of Similarity Measures",dependencies,method,agnostic
https://doi.org/10.1145/3234152.3234197,"Towards defining a microservice migration framework",,,
https://doi.org/10.1109/TSE.2019.2910531,"Service Candidate Identification from Monolithic Systems Based on Execution Traces",feature,method,agnostic
https://doi.org/10.1109/ICSA-C52384.2021.00013,"A Process Model for Microservices Design and Identification",model,method,agnostic
https://doi.org/10.1111/exsy.13158,"Expert system for automatic microservices identification using API similarity graph",rest,tool,agnostic
https://doi.org/10.1145/3475061.3475086,"Refactoring Java Monoliths into Executable Microservice-Based Applications",data,tool,java
https://doi.org/10.1145/3412841.3442016,"Identification of microservices from monolithic applications through topic modelling",model,tool,java
https://repozitorium.omikk.bme.hu/bitstream/handle/10890/16951/ertekezes.pdf,"Microservices identification methods and quality metrics",domain,tool,agnostic
http://doi.org/10.18419/opus-11501,"A meta-approach to guide architectural refactoring from monolithic applications to microservices",multiple,tool,agnostic
https://doi.org/10.1002/spe.2869,"Microservice transition and its granularity problem: A systematic mapping study",,,
https://doi.org/10.1109/HPCSim.2016.7568389,"The ENTICE approach to decompose monolithic services into microservices",,,
https://doi.org/10.1109/DSA52907.2021.00070,"Applying Microservice Refactoring to Object-2riented Legacy System",domain,tool,java 
https://doi.org/10.1109/eStream.2019.8732170,"Migrating Legacy Software to Microservices Architecture",,,
https://doi.org/10.1145/3344948.3344991,"A logical architecture design method for microservices architectures",model,method,agnostic
https://doi.org/10.1002/spe.2608,"Microservices migration patterns",,,
https://doi.org/10.12694/scpe.v22i1.1836,"A Microservice Decomposition Method Through Using Distributed Representation of Source Code",neural-network,tool,java
https://doi.org/10.1007/s10270-022-00977-3,"Facilitating the migration to the microservice architecture via model-driven reverse engineering and reinforcement learning",,,
https://doi.org/10.1109/iCCECE55162.2022.9875096,"Architect: A Framework for the Migration to Microservices",,,
https://doi.org/10.1145/3483899.3483908,"Microservice decomposition and evaluation using dependency graph and silhouette coefficient",dependency,tool,java
https://doi.org/10.1016/j.infsof.2022.106992,"Microservice extraction based on knowledge graph from monolithic applications",dependency,method,agnostic
https://doi.org/10.1109/SCCC49216.2019.8966423,"Migrating from monolithic architecture to microservices: A Rapid Review",,,
https://doi.org/10.1109/ACCESS.2021.3106342,"Microservices Backlog–A Genetic Programming Technique for Identification and Evaluation of Microservices From User Stories",business,method,agnostic
https://doi.org/10.1109/ICWS53863.2021.00104,"Monolith to Microservice Candidates using Business Functionality Inference",static-analysis,tool,java
https://doi.org/10.1109/SOSE49046.2020.00015,"System Decomposition to Optimize Functionality Distribution in Microservices with Rule Based Approach",dynamic-analysis,method,agnostic
https://doi.org/10.1109/ICS51289.2020.00107,"Microservice Migration Using Strangler Fig Pattern: A Case Study on the Green Button System",strangler,method,agnostic
https://doi.org/10.1109/ICSA-C50368.2020.00011,"Microservice Decomposition via Static and Dynamic Analysis of the Monolith",static-analysis,method,agnostic
https://doi.org/10.1109/ICWS.2017.61,"Extraction of Microservices from Monolithic Software Architectures",change-history,algorithm,agnostic 
https://doi.org/10.1145/3468264.3473915,"Mono2Micro: a practical and effective tool for decomposing monolithic Java applications to microservices",static-analysis,tool,java
http://sattose.wdfiles.com/local--files/2020/sattose2020_paper_12.pdf,"Steinmetz: Toward automatic decomposition of monolithic software into microservices",static-analysis,method,agnostic
https://doi.org/10.1145/3461011,"Software Architectural Migration: An Automated Planning Approach",,,
https://doi.org/10.13052/jwe1540-9589.20312,"A Prescriptive Model for Migration to Microservices Based on SDLC Artifacts",model,method,agnostic
https://doi.org/20.500.12932/148,"From a Monolith to Microservices: the Effect of Multi-view Clustering",static-analysis,tool,python
https://doi.org/10.1016/j.jss.2019.02.031,"Unsupervised learning approach for web application auto-decomposition into microservices",logs,algorithm,agnostic
https://doi.org/10.1109/ICSA47634.2020.00023,"From Monolithic Architecture Style to Microservice one Based on a Semi-Automatic Approach",dependencies,method,agnostic
https://doi.org/10.1109/ICSA-C54293.2022.00010,"Towards Migrating Legacy Software Systems to Microservice-based Architectures: a Data-Centric Process for Microservice Identification",data,method,agnostic
https://doi.org/10.1109/ICSME46990.2020.00060,"On the Performance and Adoption of Search-Based Microservice Identification with toMicroservices",multiple,method,agnostic
https://doi.org/10.1109/ICWS55610.2022.00065,"Log2MS: a framework for automated refactoring monolith into microservices using execution logs",control-flow,method,agnostic
https://doi.org/10.1007/978-3-030-29983-5_3,"From a Monolith to a Microservices Architecture: An Approach Based on Transactional Contexts",transactional-contexts,tool,java
https://doi.org/10.1007/978-3-030-96305-7_36,"Automatic Microservices Identification Across Structural Dependenc",dependency,method,agnostic
https://doi.org/10.1109/ICSA47634.2020.00021,"Automated Microservice Identification in Legacy Systems with Functional and Non-Functional Metrics",logsteam,method,agnostic
https://doi.org/10.1016/j.infsof.2021.106600,"From monolithic systems to Microservices: An assessment framework",,,
https://doi.org/10.1007/978-3-319-92901-9_8,"Evaluation of Microservice Architectures: A Metric and Tool-Based Approach",,,
https://doi.org/10.1080/1206212X.2021.1915444,"Dependencies-based microservices decomposition method",dependency,method,agnostic
https://doi.org/10.1007/978-3-030-39306-9_2,"A Model-Driven Approach Towards Automatic Migration to Microservices",model,tool,java
https://doi.org/10.1007/978-3-319-44482-6_12,"Service Cutter: A Systematic Approach to Service Decomposition",,,
https://doi.org/10.1145/3368089.3417933,"Mono2Micro: an AI-based toolchain for evolving monolithic enterprise applications to a microservice architecture",static-analysis,tool,java
https://doi.org/10.1007/978-3-030-58923-3_21,"Determining Microservice Boundaries: A Case Study Using Static and Dynamic Software Analysis",static-analysis,tool,python
https://doi.org/10.48550/arXiv.2207.11784,"CARGO: AI-Guided Dependency Analysis for Migrating Monolithic Applications to Microservices Architecture",dependency,tool,java
https://doi.org/10.1109/ASE51524.2021.9678851,"Transforming monolithic applications to microservices with Mono2Micro",static-analysis,tool,java
https://doi.org/10.1007/978-3-030-31646-4_3,"Migrating to Microservices",domain,method,agnostic
https://doi.org/10.1145/3466933.3466949,"Mon4Aware: A multi-objective and context-aware approach to decompose monolithic applications",multiple,method,agnostic
https://doi.org/10.1109/CloudCom.2019.00023,"MicroValid: a validation framework for automatically decomposed microservices",,,
https://doi.org/10.1145/3377929.3390030,"Search-based many-criteria identification of microservices from legacy systems",cohesion,method,agnostic
https://doi.org/10.1109/ISSREW.2019.00050,"From Monolithic Architecture to Microservices Architecture",,,
https://doi.org/10.1145/3241403.3241440,"Cracking the monolith: challenges in data transitioning to cloud native architectures",data-flow,method,agnostic
https://doi.org/10.7763/IJCTE.2018.V10.1219,"An Approach to Evolving Legacy Enterprise System to Microservice-Based Architecture through Feature-Driven Evolution Rules",feature,method,agnostic
https://doi.org/10.1109/APSEC.2018.00072,"Extracting Candidates of Microservices from Monolithic Application Code",data-flow,method,agnostic
https://doi.org/10.1609/aaai.v35i1.16079,"Graph Neural Network to Dilute Outliers for Refactoring Monolith Application",graph,method,agnostic
https://doi.org/10.1007/978-3-031-11513-4_7,"Materializing Microservice-oriented Architecture from Monolithic Object-oriented Source Code",unknown,unknown,unknown
https://doi.org/10.1007/978-3-030-03596-9_3,"Function-Splitting Heuristics for Discovery of Microservices in Enterprise Systems",control-flow,tool,unknown
https://doi.org/10.1109/SCC.2018.00042,"Object-Aware Identification of Microservices",dependency,method,agnostic
https://doi.org/10.1109/SOSE55356.2022.00007,"Monolith to Microservices: VAE-Based GNN Approach with Duplication Consideration",feature,method,agnostic
https://doi.org/10.1109/ICSME.2019.00081,"Microservices Migration in Industry: Intentions, Strategies, and Challenges",,,
https://doi.org/10.1109/AIMS.2017.23,"Migrating Monolithic Mobile Application to Microservice Architecture: An Experiment Report",domain,method,agnostic
https://doi.org/10.1016/j.jss.2019.01.001,"Architecting with microservices: A systematic mapping study",,,
